id,source_wsi,dataset,i,j
0006ff2aa7cd,2,2,16896,16420
000e79e206b7,6,3,10240,29184
00168d1b7522,2,2,14848,14884
00176a88fdb0,7,3,14848,25088
0033bbc76b6b,1,1,10240,43008
003504460b3a,3,2,08192,11776
00359ab8338b,8,3,06656,09216
00488ca285ee,9,3,08192,37888
004daf1cbe75,3,2,06144,11264
004fb033dd09,7,3,20480,31232
0054b93142c4,9,3,09728,38400
005715f0a313,3,2,08192,10752
005a16af0231,10,3,13408,14296
005f05ed625f,11,3,11733,32273
006007019cdb,6,3,20480,35840
00654cc08aac,2,2,18944,12324
00656c6f2690,1,1,10240,46080
0067d5ad2250,2,1,23552,22528
006834048f7b,9,3,12800,17408
006cecb2aaff,8,3,23040,19968
0074999a704e,8,3,12288,17408
0080d3e3b127,10,3,24672,26584
0094b5dc209d,7,3,21504,20480
009eefb152d3,12,3,25088,27136
00a768c3dfa5,10,3,13408,24536
00b30b105c16,13,3,26112,24064
00bc0c5940e1,14,3,07691,15777
00c1aa401009,9,3,13824,05632
00c40c360378,6,3,17408,28672
00c7704a1054,10,3,14944,30168
00c89e5d88dc,12,3,16896,17408
00ca2f4c8918,3,2,14336,07680
00cfa95bc6d4,13,3,24576,39936
00d75ad65de3,1,1,08192,39424
00da70813521,1,1,10240,46592
00da8fdf2391,4,2,04096,22528
00dcb6900b37,10,3,15968,22488
00dec947e4d9,11,3,18389,40977
00e579c5b135,10,3,21600,26584
00eef92a6218,6,3,09728,13824
00f560a6a72b,3,2,04096,15360
00ff2d7b49dc,6,3,18944,14336
0103d61f2a5e,11,3,09173,38929
01043adee542,13,3,10240,26624
011d54084ae1,10,3,23648,09176
0123416f5322,14,3,08203,45473
012b00fda14c,7,3,15872,14336
012ededfa1cf,9,3,13824,25600
012efa4e6d9a,6,3,11776,14336
013862e23aaf,7,3,18944,25088
0138f9c423ec,13,3,09728,23040
013a387d9077,9,3,18944,15360
014b60dfe193,4,2,04096,23040
015a5fa84797,12,3,06144,26624
016721a3fe23,7,3,10752,24064
016c33dacfa1,2,2,23040,17444
016de9b325a3,10,3,13408,24024
017118b556e4,9,3,06144,36864
019390572feb,4,2,04096,22016
01a25364ce3f,14,3,11787,29089
01a7fca6263b,1,2,13312,10240
01b27dca9655,11,3,05589,38929
